N,P,K,temperature,humidity,ph,rainfall,Total_Nutrients,Temperature_Humidity,Log_Rainfall,Label,Label_Encoded
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,103,1435.418191,3.734219559,brussels_sprouts,5
17,56,17,27.94293692,45.41393636,5.9565851,69.66289997,90,1268.998759,4.257920682,brussels_sprouts,5
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,102,1876.883956,4.141010872,brussels_sprouts,5
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,74,1552.662714,4.183356105,brussels_sprouts,5
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,71,1123.092545,3.809730473,brussels_sprouts,5
38,38,18,26.31051759,61.18749126,6.294130313,35.73403813,94,1609.874565,3.603703795,brussels_sprouts,5
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,84,1272.72934,3.554154699,brussels_sprouts,5
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,80,1253.027076,4.289091186,brussels_sprouts,5
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,105,1694.934892,3.672318948,brussels_sprouts,5
23,58,19,24.17093241,58.25204566,5.243634849,59.18953429,100,1408.006258,4.097498488,brussels_sprouts,5
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,81,1593.60885,3.635439815,brussels_sprouts,5
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,76,1508.813055,3.972851,brussels_sprouts,5
26,51,25,28.76488954,52.62741529,7.792508068,55.21606732,102,1513.821788,4.029202611,brussels_sprouts,5
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,101,1797.789554,3.733575696,brussels_sprouts,5
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,106,1473.559177,3.611243002,brussels_sprouts,5
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,88,1311.357499,3.576344539,brussels_sprouts,5
7,40,17,31.2123945,40.92604945,8.532078733,53.78769958,64,1277.400001,4.003465709,brussels_sprouts,5
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,83,1486.95728,3.850581463,brussels_sprouts,5
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,101,1487.537771,3.987673862,brussels_sprouts,5
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,81,1635.247784,3.838090083,brussels_sprouts,5
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,112,1297.147315,4.245654322,brussels_sprouts,5
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,95,1293.058562,3.803948139,brussels_sprouts,5
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,91,1979.370503,4.18308893,brussels_sprouts,5
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,92,1439.093305,3.671631014,brussels_sprouts,5
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,74,1866.995768,3.935697088,brussels_sprouts,5
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,84,1709.589007,3.825604819,brussels_sprouts,5
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,112,1625.585507,4.0345826,brussels_sprouts,5
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,93,1828.546725,3.593879859,brussels_sprouts,5
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,103,1680.27231,3.463237173,brussels_sprouts,5
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,92,1600.198444,3.517832879,brussels_sprouts,5
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,89,1831.192099,3.540645948,brussels_sprouts,5
40,55,18,30.38257873,40.5926071,7.115994051,47.95406479,113,1233.308081,3.890882405,brussels_sprouts,5
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,77,1291.371045,3.584464165,brussels_sprouts,5
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,102,1754.837447,4.199843837,brussels_sprouts,5
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,85,1437.629056,3.771393179,brussels_sprouts,5
22,51,16,27.96583691,61.34900107,8.639586199,70.10472076,89,1715.676159,4.264153731,brussels_sprouts,5
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,97,1200.512568,4.173136725,brussels_sprouts,5
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,70,1189.387249,3.677124302,brussels_sprouts,5
16,51,21,31.01963639,49.9767522,3.532008668,32.81296548,88,1550.260681,3.520844323,brussels_sprouts,5
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,94,2408.782505,4.020584566,cabbage,6
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,82,2288.618864,3.683807632,cabbage,6
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,111,2278.491102,4.030629773,cabbage,6
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,82,2283.403753,3.620525839,cabbage,6
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,95,2609.251307,3.823238972,cabbage,6
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,90,2681.791178,3.784075759,cabbage,6
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,116,2377.755451,4.051483197,cabbage,6
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,107,2356.254704,3.989335698,cabbage,6
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,67,2610.257942,3.757119764,cabbage,6
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,80,2311.205577,3.866123577,cabbage,6
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,85,2561.271709,4.108778567,cabbage,6
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,86,2410.572287,3.82087372,cabbage,6
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,89,2324.563699,3.806930591,cabbage,6
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,90,2464.556135,3.848233301,cabbage,6
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,80,2572.410898,3.651853039,cabbage,6
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,119,2536.689834,3.732387316,cabbage,6
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,94,2241.696481,3.780330812,cabbage,6
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,104,2303.497314,3.961311602,cabbage,6
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,78,2267.580112,3.914413063,cabbage,6
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,94,2579.229186,4.071741249,cabbage,6
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,80,2569.332786,3.787336113,cabbage,6
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,100,2466.546142,3.902901243,cabbage,6
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,96,2380.872968,4.056344686,cabbage,6
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,89,2353.586717,3.645772795,cabbage,6
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,108,2364.511962,4.051976806,cabbage,6
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,100,2328.536963,3.637878338,cabbage,6
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,95,2439.68865,3.941063975,cabbage,6
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,107,2474.904437,4.074118618,cabbage,6
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,111,2510.499013,3.819161463,cabbage,6
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,107,2469.052143,4.055055042,cabbage,6
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,94,2342.149694,4.108751193,cabbage,6
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,78,2423.039196,3.901633084,cabbage,6
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,90,2501.518582,3.90332332,cabbage,6
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,62,2378.039668,3.802217314,cabbage,6
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,91,2488.83974,3.636168567,cabbage,6
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,83,2480.084529,3.996957528,cabbage,6
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,79,2551.277779,3.941564961,cabbage,6
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,75,2604.669572,3.829612029,cabbage,6
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,101,2425.576588,4.083831118,cabbage,6
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,86,2484.103722,3.71650536,cabbage,6
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,94,2419.373311,3.953127064,cabbage,6
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,84,2663.982832,4.092123279,cabbage,6
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,92,2340.07113,4.043927274,cabbage,6
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,64,2568.439182,4.084528903,cabbage,6
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,87,2662.815017,4.024658819,cabbage,6
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,56,2327.51198,3.924320146,cabbage,6
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,91,2505.516836,3.986132951,cabbage,6
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,98,2370.644766,4.026016466,cabbage,6
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,88,2268.595645,4.018586593,cabbage,6
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,73,2512.151684,4.094949372,cabbage,6
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,100,2406.882516,3.987692677,cabbage,6
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,81,2483.401557,4.052229726,cabbage,6
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,100,2333.907585,3.991799177,cabbage,6
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,83,2352.286918,3.940949786,cabbage,6
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,95,2411.36239,3.694819536,cabbage,6
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,86,2250.252323,3.810561747,cabbage,6
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,58,2476.316809,3.839149454,cabbage,6
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,77,2500.189474,4.044723904,cabbage,6
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,111,2568.278633,3.746931717,cabbage,6
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,89,2484.601035,4.077456824,cabbage,6
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,113,2581.322686,3.787686121,cabbage,6
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,90,2464.379971,3.949609938,cabbage,6
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,83,2394.610021,3.801855618,cabbage,6
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,79,2418.827765,3.922134239,cabbage,6
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,72,2577.459949,3.623010134,cabbage,6
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,106,2436.725288,3.649535692,cabbage,6
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,96,2510.955565,4.003641387,cabbage,6
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,65,2358.740355,3.649306799,cabbage,6
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,92,2395.633716,4.02170241,cabbage,6
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,64,2220.070774,3.726457765,cabbage,6
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,81,2619.575352,3.949793733,cabbage,6
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,110,2623.868868,4.043386853,cabbage,6
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,90,2351.750729,4.080704147,cabbage,6
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,66,2348.163184,3.910756111,cabbage,6
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,84,2398.433336,3.761777455,cabbage,6
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,71,2496.217004,3.785354881,cabbage,6
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,79,2389.603386,3.695392608,cabbage,6
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,108,2468.329329,3.932126434,cabbage,6
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,103,2544.752369,3.961545895,cabbage,6
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,93,2533.888966,3.99553421,cabbage,6
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,95,2379.274371,3.614167472,cabbage,6
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,60,2256.757707,3.667266769,cabbage,6
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,71,2341.116099,3.71759955,cabbage,6
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,85,2389.82028,3.944778151,cabbage,6
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,103,2432.470382,3.805591633,cabbage,6
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,109,2428.170501,4.08259802,cabbage,6
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,71,2385.826846,3.789876978,cabbage,6
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,75,2395.201562,3.817146767,cabbage,6
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,91,2429.659324,4.108329517,cabbage,6
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,89,2417.183943,3.795098538,cabbage,6
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,97,2539.493559,3.92176984,cabbage,6
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,87,2619.015703,3.897956398,cabbage,6
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,96,2388.827201,3.737982236,cabbage,6
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,90,2499.976758,3.786927539,cabbage,6
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,65,2316.955668,3.813322599,cabbage,6
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,69,2560.415612,4.086476066,cabbage,6
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,67,2335.115629,3.790019596,cabbage,6
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,82,2358.116914,3.644051151,cabbage,6
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,91,2494.67639,4.045231907,cabbage,6
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,94,2374.294264,3.980703557,cabbage,6
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,150,1863.389109,4.288963905,beans,7
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,108,1821.677829,4.2217253,beans,7
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,125,1636.480586,4.265943217,beans,7
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,140,2287.651528,4.307245652,beans,7
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,120,1824.219505,4.29721843,beans,7
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,121,1882.613341,4.147291556,beans,7
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,128,2188.115969,4.217374677,beans,7
30,64,20,33.8642935,61.57072498,6.573531614,68.02199825,114,2085.049102,4.234425269,beans,7
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,112,2255.729355,4.31310066,beans,7
50,74,17,27.10053268,63.36085585,6.5408208,73.84949872,141,1717.112945,4.315479414,beans,7
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,136,1569.842966,4.252573746,beans,7
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,149,2154.809457,4.182947794,beans,7
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,134,2021.606283,4.227274701,beans,7
55,66,22,30.91219459,68.79427388,7.747775263,66.63830637,143,2126.581981,4.214174485,beans,7
51,56,18,28.12787838,64.2097765,6.706505915,70.86340755,125,1806.084784,4.2747672,beans,7
36,66,15,30.08545364,69.34811988,6.668238556,67.1367443,117,2086.369646,4.221516632,beans,7
59,55,19,31.74379487,62.51007687,7.332375138,68.97097538,133,1984.307057,4.248080519,beans,7
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,131,1738.457353,4.259231055,beans,7
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,120,2124.343623,4.283665104,beans,7
20,62,18,29.36358721,64.98742947,7.366542647,61.91208707,100,1908.264053,4.141738309,beans,7
58,71,15,27.82592799,67.5861883,6.919243702,74.01229707,144,1880.648409,4.317652061,beans,7
25,71,24,28.49538735,60.44848407,7.187721818,74.91559514,120,1722.502968,4.329622133,beans,7
52,71,16,27.74274761,68.53997144,7.075886472,71.78615328,139,1901.487129,4.287525735,beans,7
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,121,2058.037241,4.159269444,beans,7
20,60,25,27.3254209,69.09047809,6.726469088,61.19250859,105,1887.926394,4.130234552,beans,7
48,61,21,30.28496619,61.69295127,6.628264883,65.62859526,130,1868.368943,4.199133844,beans,7
49,68,22,28.56840626,61.53278622,7.127064207,63.49726331,139,1757.893635,4.166622794,beans,7
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,125,1690.329543,4.201950938,beans,7
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,115,2280.886618,4.264671047,beans,7
21,63,22,25.09737391,67.72837887,6.859409487,74.61649888,106,1699.804449,4.325674499,beans,7
20,72,19,32.47648301,64.34848735,7.397190844,65.820457,111,2089.812556,4.202009276,beans,7
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,111,2322.77693,4.25198402,beans,7
41,78,21,25.19857725,60.37332688,6.581313137,70.88787207,140,1521.321941,4.275107573,beans,7
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,137,2193.189151,4.134669293,beans,7
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,120,2219.504353,4.18552458,beans,7
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,118,2178.555319,4.147982852,beans,7
21,78,19,27.16159076,66.76017239,6.92009048,69.85112265,118,1813.312482,4.260580811,beans,7
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,134,1781.154002,4.311961398,beans,7
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,146,1814.067977,4.210225223,beans,7
49,72,15,31.55846339,67.83563765,7.137004749,74.86960831,136,2140.788487,4.329016187,beans,7
24,80,19,29.67892453,69.0854554,6.808041722,65.66436565,123,2050.382017,4.199670562,beans,7
49,76,18,27.05365239,67.7017527,7.393631868,60.4693835,143,1831.579684,4.118539222,beans,7
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,115,2126.337231,4.296355602,beans,7
55,78,21,33.39438752,62.93692886,6.602888249,63.57445989,154,2101.740192,4.167818975,beans,7
50,64,25,28.84079155,63.37230676,6.734447425,70.25496749,139,1827.707489,4.266264536,beans,7
34,80,19,31.49338309,63.0563645,6.521217963,71.48327008,133,1985.858243,4.283355778,beans,7
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,111,1634.006047,4.161739202,beans,7
55,67,16,34.37329112,69.69366426,6.596719015,70.27184748,138,2395.600611,4.266501403,beans,7
23,70,15,34.6008247,63.11296779,7.403623355,60.41790253,108,2183.760735,4.117701365,beans,7
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,142,1911.582342,4.292897311,beans,7
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,109,1976.542247,4.231689954,beans,7
33,80,22,28.57006111,65.71765781,6.593961761,70.0866434,135,1877.5575,4.263899463,beans,7
37,79,19,27.54384835,69.3478631,7.143942758,69.40878198,135,1910.107025,4.254317999,beans,7
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,129,2278.210785,4.147929289,beans,7
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,97,2375.392231,4.129768085,beans,7
20,68,17,30.11873003,60.11680815,6.578714843,71.72980375,105,1810.641915,4.286751256,beans,7
43,68,20,29.57812712,66.17587668,7.497469256,69.43895491,131,1957.358493,4.254746447,beans,7
44,76,22,27.26458947,68.01232937,7.775306272,68.91754359,142,1854.328239,4.247316599,beans,7
34,60,16,31.35730791,64.24992106,7.322555223,63.85668948,110,2014.704558,4.172180059,beans,7
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,110,2097.95381,4.138538696,beans,7
25,68,19,29.39982732,64.25510719,7.108450121,67.47677295,112,1889.089056,4.226494607,beans,7
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,118,1884.962752,4.193313852,beans,7
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,116,1756.826513,4.320744024,beans,7
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,114,1809.152192,4.256001864,beans,7
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,126,1873.544009,4.281784598,beans,7
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,158,1549.874982,4.243437483,beans,7
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,119,1984.193211,4.310084599,beans,7
52,70,16,33.66855394,66.60416867,7.534811833,67.32520551,138,2242.466045,4.22427874,beans,7
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,99,2233.030849,4.309516789,beans,7
42,58,25,27.45853567,62.90020977,6.513620918,69.46020927,125,1727.147654,4.255048143,beans,7
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,116,1793.984905,4.32572989,beans,7
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,141,1926.546801,4.279579492,beans,7
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,121,1925.693586,4.179434074,beans,7
56,76,16,28.27265858,61.18956161,7.513151076,63.29900785,148,1729.991584,4.163544201,beans,7
29,76,15,28.5417236,64.2020154,7.025607706,69.68862306,120,1832.436178,4.258284641,beans,7
43,61,20,26.87187036,61.61367264,6.804253866,63.51822045,124,1655.674624,4.166947672,beans,7
55,60,15,32.79766751,68.77994074,7.163043872,64.11411069,130,2255.821628,4.17614128,beans,7
44,63,15,26.42333018,64.51136845,7.338929556,63.46546487,122,1704.605189,4.166129652,beans,7
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,117,1888.440111,4.159222074,beans,7
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,126,1841.353623,4.297376527,beans,7
40,68,17,34.1262979,65.14877461,7.733149554,70.40795007,125,2223.28649,4.268409209,beans,7
58,61,15,30.94908189,64.23364112,7.402891666,62.78730907,134,1987.972219,4.155554253,beans,7
41,74,18,28.75751783,61.02701476,6.599147298,73.37686831,133,1754.985465,4.309144984,beans,7
58,79,17,27.24766491,66.10123083,7.04174124,62.31842057,154,1801.104188,4.148176291,beans,7
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,113,1911.655755,4.147470306,beans,7
27,60,17,26.41768321,63.64698302,7.026795359,64.42177127,104,1681.405835,4.180855097,beans,7
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,137,2171.066279,4.246196156,beans,7
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,124,1953.158716,4.27893188,beans,7
21,62,24,33.49077065,62.73317204,6.847382891,65.45328463,107,2100.982277,4.196499214,beans,7
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,141,2126.971181,4.320448871,beans,7
33,77,21,30.32992227,65.62971858,7.01285529,71.64631281,131,1990.544263,4.285602636,beans,7
59,58,17,28.546224,66.31394098,7.368318809,62.83469851,134,1893.012614,4.156296906,beans,7
29,63,17,30.02629908,67.88811637,7.26154329,66.47264636,109,2038.428886,4.211722277,beans,7
59,63,18,31.65531175,60.13263713,6.52669158,66.69096751,140,1903.517375,4.214952752,beans,7
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,114,1927.70376,4.319712188,beans,7
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,147,2191.637302,4.18806522,beans,7
55,77,22,31.4345059,62.99303471,7.76061831,64.77651469,154,1980.154921,4.186262855,beans,7
42,79,23,27.71678273,63.29103387,6.781841984,68.56507978,144,1754.223835,4.242262714,beans,7
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,142,2000.811685,4.140572104,beans,7
38,62,25,32.7477393,67.77954584,7.453975408,63.37784443,125,2219.626897,4.164769543,beans,7
32,76,15,28.05153602,63.49802189,7.604110177,43.35795377,123,1781.217048,3.792292034,peas,8
13,61,22,19.44084326,63.27771461,7.728832424,46.83130119,96,1230.172132,3.867680262,peas,8
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,118,1809.958688,3.86712032,peas,8
11,74,17,21.36383757,69.92375891,6.633864582,46.6352865,102,1493.839828,3.8635738,peas,8
37,71,16,26.28663931,68.51966729,7.324863481,46.13833007,124,1801.15178,3.853086472,peas,8
29,71,18,22.17499963,62.13873825,6.410441476,53.46622584,118,1377.926498,3.9975808,peas,8
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,92,1620.570189,3.949147432,peas,8
6,59,21,26.58972517,66.14007674,6.139215944,50.90994463,86,1758.646463,3.949510383,peas,8
13,64,20,19.1345771,62.57526895,6.590571088,36.46946971,97,1197.351308,3.62352646,peas,8
8,58,17,28.75273118,69.15640149,7.286049978,35.15426171,83,1988.435421,3.587794831,peas,8
6,77,20,25.78746268,60.2816298,6.058306161,49.14337177,103,1554.510279,3.914886338,peas,8
2,75,22,23.89271875,61.78779413,6.658605362,52.55730112,99,1476.278387,3.98075213,peas,8
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,95,1811.867712,3.783284367,peas,8
27,80,24,28.42062847,61.77336343,7.815210661,49.02366803,131,1755.637811,3.912496254,peas,8
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,132,1336.851771,3.756122089,peas,8
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,136,1334.957101,3.681813163,peas,8
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,121,1480.211003,3.927522777,peas,8
31,60,24,25.40474421,65.8567539,7.722335992,51.92057267,115,1673.073987,3.968792161,peas,8
22,67,22,29.03017561,64.49166566,7.475926645,54.9393771,111,1872.204379,4.024268553,peas,8
3,78,18,20.21368219,68.65257685,6.887130053,50.89732989,99,1387.72137,3.949267342,peas,8
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,100,1985.892084,3.827175521,peas,8
13,61,24,18.29783597,69.6897615,7.629910253,49.39111479,98,1275.171825,3.919814866,peas,8
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,98,1738.559397,3.81621176,peas,8
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,86,1492.703027,3.907571185,peas,8
9,60,21,29.94413861,67.31323084,7.52178027,40.37113729,90,2015.636715,3.722583471,peas,8
18,66,22,25.87990287,67.55109024,6.347379185,47.89645224,106,1748.215654,3.889704843,peas,8
32,56,18,20.0467711,65.84395319,7.135251532,46.05333124,106,1319.958658,3.851281666,peas,8
6,72,15,22.99451999,66.70897237,7.670178119,54.49044154,93,1533.940799,4.016210781,peas,8
15,77,20,25.13163619,66.92642362,7.399749291,49.04015558,112,1681.97053,3.912825795,peas,8
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,89,1779.456093,3.991671363,peas,8
30,79,22,18.28766124,69.48515056,6.254216611,48.60449438,131,1270.720895,3.904081442,peas,8
3,63,16,24.38041875,61.18458224,6.868881708,53.13946695,82,1491.705736,3.991563438,peas,8
2,78,23,21.31852148,66.43934593,7.320514721,45.42616802,103,1416.388623,3.837863266,peas,8
10,78,18,18.54141834,62.70637578,6.296976913,44.07819743,106,1162.665146,3.808398702,peas,8
14,67,25,25.28710601,60.85993533,7.241151936,49.37369982,106,1538.971636,3.91946921,peas,8
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,127,1758.195408,3.738308206,peas,8
